1 ^ Confitémini Dòmino, et invocáte nomen ejus~; adnunțiáte inter ǧèntes ópera ejus. ^ Give glory to the Lord, and call upon his name~; declare his works among the Gentiles.
2 ^ Cantáte ei, et psállite ei~; narráte òmnia mirabìlia ejus. ^ Sing to him, yea sing praises to him~; relate all his wondrous works.
3 ^ Laŭdámini in nómine sancto ejus~; laĕtétur cor qŭaĕrèntium Dòminum. ^ Glory ye in his holy name~; let the heart of them rejoice that seek the Lord.
4 ^ Quaĕrite Dòminum, et confirmámini~; qŭaĕrite fáčiem ejus sèmper. ^ Seek ye the Lord, and be strengthened~; seek his face evermore.
5 ^ Mementóte mirabílium ejus qŭaĕ fečit~; prodìǧia ejus, et judìčia oris ejus. ^ Remember his marvellous works which he hath done~; his wonders, and the judgments of his mouth.
6 ^ Semen Ábrahaĕ, sèrvi ejus~; fílii Jacóbis, elécti ejus. ^ O ye seed of Abraham, his servant~; ye sons of Jacob, his chosen.
7 ^ Ìpse Dòminus Deus noster~; in univèrsa terra judìčia ejus. ^ He is the Lord our God~; his judgments are in all the earth.
8 ^ Mèmor fuit in sáĕculum testamenti sui~; vèrbi qŭod mandávit in mille ǧenerațiónes, ^ He hath remembered his covenant for ever~; the word which he commanded to a thousand generations,
9 ^ qŭod dispósuit ad Ábraham, et juramènti sui ad Isácum. ^ which he made to Abraham, and his oath to Isaac.
10 ^ Et statúvit illud Jacóbi in praĕcèptum, et Israhéli in testamèntum aĕtèrnum, ^ And he appointed the same to Jacob for a law, and to Israel for an everlasting testament,
11 ^ dičens, «~Tìbi dabo terram Canaánis, funìculum hereditátis vèstraĕ.~» ^ saying, "To thee will I give the land of Canaan, the lot of your inheritance."
12 ^ Qŭum essent número brèvi, paŭcìssimi, et ìncolaĕ ejus, ^ When they were but a small number, very few, and sojourners therein,
13 ^ et pertransivérunt de ǧènte in ǧèntem, et de regno ad pòpulum álterum. ^ and they passed from nation to nation, and from one kingdom to another people.
14 ^ Non relíqŭit hòminem nocére eîs, et corrìpuit pro eîs reǧes. ^ He suffered no man to hurt them, and he reproved kings for their sakes.
