2 ^ Eructávit cor meum vèrbum bonum~; dico ego ópera mea regi. Lingŭa mea calamus scribaĕ velóciter scribèntis. ^ My heart hath uttered a good word~; I speak my works to the king. My tongue is the pen of a scrivener that writeth swiftly.
3 ^ Speciósus forma praĕ fíliîs hòminum, diffúsa est gráția in lábiîs tuîs~; proptèrea benedíxit te Deus in aĕtèrnum. ^ Thou art beautiful above the sons of men, grace is poured abroad in thy lips~; therefore hath God blessed thee for ever.
4 ^ Accìngere gládio tuo super femur tuum, potentìssime. ^ Gird thy sword upon thy thigh, O thou most mighty.
5 ^ Spècie tua et pulcritúdine tua intènde, próspere procéde, et regna, pròpter veritátem et mansuetúdinem et justìțiam, et dedúcet te mirabìliter dèxtera tua. ^ With thy comeliness and thy beauty set out, proceed prosperously, and reign, because of truth and meekness and justice, and thy right hand shall conduct thee wonderfully.
6 ^ Sagìttaĕ tuaĕ acútaĕ~; pòpuli sub te cadent, in corda inimicórum regis. ^ Thy arrows are sharp~; under thee shall people fall, into the hearts of the king's enemies.
7 ^ Sedes tua, Deus, in sáĕculum sáĕculi~; vìrga direcțiónis vìrga regni tui. ^ Thy throne, O God, is forever and ever~; the sceptre of thy kingdom is a sceptre of uprightness.
8 ^ Dilexìsti justìțiam, et odìsti iniqŭitátem~; proptèrea ûnxit te Deus, Deus tuus óleo laĕtìțiaĕ praĕ consórtibus tuîs. ^ Thou hast loved justice, and hated iniquity~; therefore God, thy God, hath anointed thee with the oil of gladness above thy fellows.
9 ^ Murra et gutta et cássia a vestimèntîs tuîs, a dómibus evórneîs, ex qŭìbus delectavérunt te~; ^ Myrrh, and stacte, and cássia perfume thy garments, from the ivory houses, from these they have delighted thee~;
10 ^ fíliaĕ regum in honóre tuo~; ástitit regína a dèxtrîs tuîs in vestítu deaŭráto, circùmdata varietáte. ^ the daughters of kings in thy glory~; the queen stood on thy right hand in gilded clothing, surrounded with variety.
11 ^ Aŭdi, fília, et vìde, et inclína aŭrem tuam, et oblivíscere pòpulum tuum et domum patris tui. ^ Hearken, O daughter, and see, and incline thy ear, and forget thy people and thy father's house.
12 ^ Et concupíscet rex decórem tuum, qŭóniam ìpse est Dòminus Deus tuus, et adorábunt eum. ^ And the king shall greatly desire thy beauty, for he is the Lord thy God, and him they shall adore.
13 ^ Et fíliaĕ Tiri in munèribus vùltum tuum deprecabùntur~; òmnes dívites plebis. ^ And the daughters of Tyre hall entreat thy countenance with gifts~; all the rich among the people.
14 ^ Òmnis glória ejus fíliaĕ regis intrínsecus, in fìmbriîs áŭreîs, circumamìcta varietátibus. ^ All the glory of the daughter of the king is within, in golden borders, clothed round about with varieties.
15 ^ Adducèntur regi vìrgines post eam~; pròximaĕ ejus afferèntur tìbi. ^ After her shall virgins be brought to the king~; her neighbours shall be brought to thee.
16 ^ Afferèntur in laĕtìția et exsultațióne~; adducèntur in templum regis. ^ They shall be brought with gladness and rejoicing~; they shall be brought into the temple of the king.
17 ^ Pro pátribus tuîs nati sunt tìbi fílii~; constìtues eos príncipes super òmnem terram. ^ Instead of thy fathers, sons are born to thee~; thou shalt make them princes over all the earth.
18 ^ Mèmores èrunt nóminis tui in òmni generațióne et generațiónem. Proptèrea pòpuli confitebùntur tìbi in aĕtèrnum, et in sáĕculum sáĕculi. ^ They shall remember thy name throughout all generations. Therefore shall people praise thee for ever, and for ever and ever.
