1 ^ Confitémini Dòmino, et invocáte nomen ejus~; adnunçiáte inter ġèntes ópera ejus. 
2 ^ Cantáte ei, et psàllite ei~; narráte òmnia mirabìlia ejus. 
3 ^ Laudámini in nómine sancto ejus~; laetétur cor quaerèntium Dòminum. 
4 ^ Quaerite Dòminum, et confirmámini~; quáerite fàċiem ejus sèmper. 
5 ^ Mementóte mirabílium ejus quae feċit~; prodìġia ejus, et judìċia oris ejus. 
6 ^ Semen Abrahámi, sèrvi ejus~; fílii Jacóbi, elécti ejus. 
7 ^ Ìpse Dòminus Deus noster~; in univèrsa terra judìċia ejus. 
8 ^ Mèmor fuit in sáeculum testamenti sui~; vèrbi quod mandávit in mille ġeneraçiónes, 
9 ^ quod dispósuit ad Abrahámum, et juramènti sui ad Isácum. 
10 ^ Et statúvit illud Jacóbi in praeċèptum, et Israhéli in testamèntum aetèrnum, 
11 ^ dicens, «~Tìbi dabo terram Canaánis, funìculum hereditátis vèstrae.~» 
12 ^ Quum essent número brèvi, paucìssimi, et ìncolae ejus, 
13 ^ et pertransivérunt de ġènte in ġèntem, et de regno ad pòpulum àlterum. 
14 ^ Non relíquit hòminem noċére eïs, et corrìpuit pro eïs reġes. 
15 ^ Nolíte tángere christos meos, et in prophétïs meïs nolíte malignári. 
16 ^ Et vocávit famem super terram, et omne firmamèntum panis contrívit. 
17 ^ misit ànte eos vìrum~; in servum venundátus est Joséphus. 
18 ^ Humiliavérunt in compèdibus pèdes ejus, ferrum pertransívit ànimam ejus, 
19 ^ donec věníret vèrbum ejus~; elóquium Dòmini inflammávit eum. 
20 ^ misit rex et solvit eum, prinċeps populórum, et dímisit eum. 
21 ^ Constitúvit eum dòminum domüs suae, et prínċipem òmnis possessiónis suae, 
22 ^ ut erudíret prínċipes ejus sicut semet ìpsum, et sènes ejus prudènçiam doċéret. 
23 ^ Et intrávit Ìsrahel in Aeġỳptum, et Jacóbus àccola fuit in terra Ċami. 
24 ^ Et auxit pòpulum suum vehemènter, et firmávit eum super inimícos ejus. 
25 ^ Convèrtuit cor eórum ut odírent pòpulum ejus, et dolum fàċerent in sèrvos ejus. 
26 ^ misit Moýsem servum suum~; Aharónem, quem elégit ìpsum. 
27 ^ Pósuit in eïs vèrba signórum suórum, et prodiġiórum in terra Ċami. 
28 ^ misit tènebras, et obscurávit, et non exaċerbávit sermónes suos. 
29 ^ Convertuit aquas eórum in sángüinem, et occáesit pìsċes eórum. 
30 ^ Édidit terra eórum ranas in penetrálibus reġum ipsórum. 
31 ^ Dixit, et vënit chynómia et ċìnifes in òmnibus fínibus eórum. 
32 ^ Pósuit plúvias eórum in grándinem~; ìgnem comburèntem in terra ipsórum. 
33 ^ Et percùssit víneas eórum et ficùlneas eórum, et contrívit lìgnum fínium eórum. 
34 ^ Dixit, et venit locústa et brúchus, cujus non èrat númerus~; 
35 ^ et comédit omne foenum in terra eórum, et comédit òmnem fructum terrae eórum. 
36 ^ Et percùssit omne primoġènitum in terra eórum~; primìçias òmnis labóris eórum. 
37 ^ Et edúxit eos cum arġènto et auro, et non èrat in tribúbus eórum infìrmus. 
38 ^ Laetáta est Aeġỳptus in profecçióne eórum, quia incúbuit tìmor eórum super eos. 
39 ^ Expándit nubem in protecçiónem eórum, et ìgnem ut luċéret eïs per nòctem. 
40 ^ Petivérunt, et vënit cotùrnix, et pane ċaeli saturávit eos. 
41 ^ Dirúpit pètram, et fluxérunt aquae~; abivérunt in sicco flúmina~; 
42 ^ Quóniam mèmor fuit vèrbi sancti sui, quod hábuit ad Abrahámum púerum suum. 
43 ^ Et edúxit pòpulum suum in exsultaçióne, et eléctos suos in laetìçia. 
44 ^ Et dèdit illïs reġiónes ġèntium, et labóres populórum possedérunt~; 
45 ^ ut custódiant justificaçiónes ejus, et leġem ejus requírant. 
