1 ^ Praise the Lord, for he is good, for his mercy is for ever.
2 ^ Praise ye the God of gods, for his mercy is for ever.
3 ^ Praise ye the Lord of lords, for his mercy is for ever.
4 ^ Who alone doth great wonders, for his mercy is for ever.
5 ^ Who made the heavens in understanding, for his mercy is for ever.
6 ^ Who established the earth above the waters, for his mercy is for ever.
7 ^ Who made the great lights, for his mercy is for ever.
8 ^ The sun to rule the day, for his mercy is for ever.
9 ^ The moon and the stars to rule the night, for his mercy is for ever.
10 ^ Who smote Egypt with their firstborn, for his mercy is for ever.
11 ^ Who brought out Israel from among them, for his mercy is for ever.
12 ^ With a mighty hand and with a stretched out arm, for his mercy is for ever.
13 ^ Who divided the Red Sea into parts, for his mercy is for ever.
14 ^ And brought out Israel through the midst thereof, for his mercy is for ever.
15 ^ And overthrew Pharaoh and his host in the Red Sea, for his mercy is for ever.
16 ^ Who led his people through the desert, for his mercy is for ever.
17 ^ Who smote great kings, for his mercy is for ever.
18 ^ And slew strong kings, for his mercy is for ever.
19 ^ Sehon king of the Amorites, for his mercy is for ever.
20 ^ And Og king of Basan, for his mercy is for ever.
21 ^ And he gave their land for an inheritance, for his mercy is for ever.
22 ^ For an inheritance to his servant Israel, for his mercy is for ever.
23 ^ For he was mindful of us in our affliction, for his mercy is for ever.
24 ^ And he redeemed us from our enemies, for his mercy is for ever.
25 ^ Who giveth food to all flesh, for his mercy is for ever.
26 ^ Give glory to the God of heaven, for his mercy is for ever.
27 ^ Give glory to the Lord of lords, for his mercy is for ever.
