2 ^ Dòmine in virtúte tua laĕtábitur rex, et super salutáre tuum exsultábit vehemènter. ^ In thy strength, O Lord, the king shall joy~; and in thy salvation he shall rejoice exceedingly.
3 ^ Desidèrium cordis ejus tribuvìsti ei, et voluntáte labiórum ejus non fraŭdavìsti eum. ^ Thou hast given him his heart's desire, and hast not withholden from him the will of his lips.
4 ^ Qŭóniam praĕvenìsti eum in benedictiónibus dulcédinis~; posuìsti in cápite ejus corónam de lápide pretióso. ^ For thou hast prevented him with blessings of sweetness~; thou hast set on his head a crown of precious stones.
5 ^ Vitam petívit a te, et tribuvìsti ei longitúdinem diérum in sáĕculum et in sáĕculum sáĕculi. ^ He asked life of thee, and thou hast given him length of days for ever and ever.
6 ^ Magna est glória ejus in salutári tuo~; glóriam et magnum decórem impónes super eum. ^ His glory is great in thy salvation~; glory and great beauty shalt thou lay upon him.
7 ^ Qŭóniam dabis eum in benedictiónem in sáĕculum sáĕculi~; laĕtificábis eum in gáŭdio cum vùltu tuo. ^ For thou shalt give him to be a blessing for ever and ever~; thou shalt make him joyful in gladness with thy countenance.
8 ^ Qŭóniam rex sperat in Dòmino, et in misericórdia Altìssimi non commovébitur. ^ For the king hopeth in the Lord, and through the mercy of the most High he shall not be moved.
9 ^ Inveniátur manus tua òmnibus inimícîs tuîs~; dèxtera tua invèniat òmnes qŭi te odérunt. ^ Let thy hand be found by all thy enemies~; let thy right hand find out all them that hate thee.
10 ^ Pones eos ut clíbanum ìgnis in tèmpore vùltûs tui~; Dòminus in ira sua conturbábit eos, et devorábit eos ìgnis. ^ Thou shalt make them as an oven of fire in the time of thy presence~; the Lord shall trouble them in his wrath, and fire shall devour them.
11 ^ Fructum eórum de terra pèrdes, et semen eórum a fíliîs hòminum. ^ Their fruit shalt thou destroy from the earth, and their seed from among the children of men.
12 ^ Qŭóniam declinavérunt in te mala~; cogitavérunt consìlia qŭaĕ non potuérunt stabilíre. ^ For they have intended evils against thee~; they have devised counsels which they have not been able to establish.
13 ^ Qŭóniam pones eos dorsum~; in relíquiîs tuîs praĕparábis vùltum eórum. ^ For thou shalt make them turn their back~; in thy remnants thou shalt prepare their face.
14 ^ Exaltáre Dòmine in virtúte tua~; cantábimus et psallémus virtútes tuas. ^ Be thou exalted, O Lord, in thy own strength~; we will sing and praise thy power.
