1 ^ Cantáte Dòmino cánticum novum~; cantáte Dòmino, omnis terra. ^ Sing ye to the Lord a new canticle~; sing to the Lord, all the earth.
2 ^ Cantáte Dòmino, et benedícite nómini ejus~; adnuntiáte de die in diem salutáre ejus. ^ Sing ye to the Lord, and bless his name~; show forth his salvation from day to day.
3 ^ Adnuntiáte inter gentes glóriam ejus~; in òmnibus pòpulîs mirabìlia ejus. ^ Declare his glory among the Gentiles~; his wonders among all people.
4 ^ Qŭóniam magnus Dòminus, et laŭdábilis nìmis~; terrìbilis èst super omnes Deos. ^ For the Lord is great, and exceedingly to be praised~; he is to be feared above all gods.
5 ^ Qŭóniam omnes dei gèntium daĕmónia~; Dòminus aŭtem caĕlos fecit. ^ For all the gods of the Gentiles are devils~; but the Lord made the heavens.
6 ^ Confèssio et pulchritúdo in conspèctu ejus~; sanctimónia et magnificèntia in sanctificatióne ejus. ^ Praise and beauty are before him~; holiness and majesty in his sanctuary.
7 ^ Affèrte Dòmino, pátriaĕ gèntium, affèrte Dòmino glóriam et honórem. ^ Bring ye to the Lord, O ye kindreds of the Gentiles, bring ye to the Lord glory and honour.
8 ^ Affèrte Dòmino glóriam nómini ejus~; tòllite hóstias, et introíte in átria ejus. ^ Bring to the Lord glory unto his name~; bring up sacrifices, and come into his courts.
9 ^ Adoráte Dòminum in átrio sancto ejus~; commoveátur a fácie ejus univèrsa terra. ^ Adore ye the Lord in his holy court. Let all the earth be moved at his presence.
10 ^ Dícite in gèntibus: «~Dòminus regnávit~». Ètenim corréxit orbem terraĕ qŭi non commovébitur~; judicábit pòpulos in aĕqŭitáte. ^ Say ye among the Gentiles: "the Lord hath reigned". For he hath corrected the world which shall not be moved~; he will judge the people with justice.
11 ^ Laĕtèntur caĕli, et exsùltet terra~; commoveátur mare, et plenitúdo ejus. ^ Let the heavens rejoice, and let the earth be glad~; let the sea be moved, and the fulness thereof.
12 ^ Gaŭdébunt campi, et òmnia qŭaĕ in eîs sunt~; tunc exsultábunt òmnia ligna silvárum, ^ The fields shall rejoice, and all things in them~; then shall all the trees of the woods rejoice,
13 ^ a fácie Dòmini, qŭia vênit, qŭóniam vênit judicáre terram. Judicábit orbem terraĕ in aĕqŭitáte, et pòpulos in veritáte sua. ^ before the face of the Lord, because he cometh, because he cometh to judge the earth. He shall judge the world with justice, and the people with his truth.
