1 ^ Qŭi hábitat in adjutório Altìssimi, in protecțióne Dei caĕli commorábitur. ^ He that dwelleth in the aid of the most High, shall abide under the protection of the God of Jacob.
2 ^ Dicet Dòmino, «~Suscèptor meus es tu, et refúǧium meum~; Deus meus, sperábo in eum.~»^ He shall say to the Lord, "Thou art my protector, and my refuge~; my God, in him will I trust."
3 ^ Qŭóniam ìpse liberávit me de láqŭeo venántium, et a vèrbo áspero. ^ For he hath delivered me from the snare of the hunters, and from the sharp word.
4 ^ Scápulîs suîs obumbrábit tìbi, et sub pennîs ejus sperábis. ^ He will overshadow thee with his shoulders, and under his wings thou shalt trust.
5 ^ Scuto circùmdabit te vèritas ejus~; non timébis a timóre noctùrno, ^ His truth shall compass thee with a shield~; thou shalt not be afraid of the terror of the night,
6 ^ a saǧìtta vulánte in die, a negóțio perambulánte in tènebrîs, ab incùrsu, et daĕmónio meridiáno. ^ of the arrow that flieth in the day, of the business that walketh about in the dark, of invasion, or of the noonday devil.
7 ^ Cadent a látere tuo mille, et dècem mìllia a dèxtrîs tuîs, ad te aŭtem non appropinqŭábit. ^ A thousand shall fall at thy side, and ten thousand at thy right hand, but it shall not come nigh thee.
8 ^ Verùmtamen òculîs tuîs considerábis, et retribuțiónem peccatórum vedébis. ^ But thou shalt consider with thy eyes, and shalt see the reward of the wicked.
9 ^ Qŭóniam tu es, Dòmine, spes mea~; Altìssimum posuìsti refúǧium tuum. ^ Because thou, O Lord, art my hope~; thou hast made the most High thy refuge.
10 ^ Non accédet ad te malum, et flaǧèllum non appropinqŭábit tabernáculo tuo~; ^ There shall no evil come to thee, nor shall the scourge come near thy dwelling~;
11 ^ qŭóniam ánǧelîs suîs mandávit de te, ut custódiant te in òmnibus viîs tuîs. ^ for he hath given his angels charge over thee, to keep thee in all thy ways.
12 ^ In mánibus portábunt te, ne forte offèndas ad lápidem pèdem tuum. ^ In their hands they shall bear thee up, lest thou dash thy foot against a stone.
13 ^ Super áspidem et basilìscum ambulábis, et conculcábis leónem et dracónem. ^ Thou shalt walk upon the asp and the basilisk, and thou shalt trample under foot the lion and the dragon.
14 ^ Qŭóniam in me sperávit, liberábo eum~; próteǧem eum, qŭóniam cognóvit nomen meum. ^ Because he hoped in me, I will deliver him~; I will protect him because he hath known my name.
15 ^ Clamábit ad me, et ego exaŭdiem eum~; cum ìpso sum in tribulațióne~; erìpiem eum et glorificábo eum. ^ He shall cry to me, and I will hear him~; I am with him in tribulation~; I will deliver him and I will glorify him.
16 ^ Lonǧitúdine diérum replébo eum, et ostèndem illi salutáre meum. ^ I will fill him with length of days, and I will show him my salvation.
