2 ^ Confitébor tìbi, Dòmine, in toto corde meo~; narrábo òmnia mirabìlia tua. 
3 ^ Laetábor et exsultábo in te~; psallem nómini tuo, Altìssime, 
4 ^ In convertèndo inimícum meum retrósum~; infirmabùntur et períbunt a fàċie tua. 
5 ^ Quóniam feċìsti judìċium meum et causam meam~; sëdìsti super thronum qui júdicas justìçiam. 
6 ^ Increpavìsti ġèntes, et perívit ìmpius~; nomen eórum delevìsti in aetèrnum et in sáeculum sáeculi. 
7 ^ Inimíci defeċérunt fràmeae in finem, et çivitátes eórum destruxìsti. Perívit memória eórum cum sónitu~; 
8 ^ et Dòminus in aetèrnum pèrmanet. Parávit in judìċio tronum suum, 
9 ^ et ìpse judicábit orbem terrae in aequitáte~; judicábit pòpulos in justìçia. 
10 ^ Et fàctus est Dòminus refúġium páuperi~; adjútor in opportunitátibus, in tribulaçióne. 
11 ^ Et sperent in te qui novérunt nomen tuum, quóniam non dereliquìsti quaerèntes te, Dòmine. 
12 ^ Psàllite Dòmino qui hábitat in Sióne~; adnúnçiem inter ġèntes stúdia ejus, 
13 ^ quóniam requírens sángüinem eórum recordátus est~; non est oblítus clamórem páuperum. 
14 ^ Miserére mei, Dòmine~; vìde humilitátem meam de inimícïs meïs, 
15 ^ qui exàltas me de portïs mortis, ut adnúnçiem òmnes laudaçiónes tuas in portïs fíliae Siónis~; 
16 ^ exsultábo in salutári tuo. Infíxae sunt ġèntes in intèritu quem feċérunt~; in làqueo ìsto, quem absconduérunt comprehènsus est pes eórum. 
17 ^ Cognoscétur Dòminus judìċia fàċiens~; in opèribus mànuum suárum comprehènsus est peccátor. 
18 ^ Convertàntur peccatóres in infèrnum, òmnes ġèntes quae obliviscùntur Deum. 
19 ^ Quóniam non in finem oblívio èrit páuperis~; patiènçia páuperum non períbit in finem. 
20 ^ Exsùrge, Dòmine~; non confortétur hòmo~; judicèntur ġèntes in conspèctu tuo. 
21 ^ Constìtue, Dòmine, leġislatórem super eos, ut sciant ġèntes quóniam hòmines sunt. 
22 ^ ¿~Ut quid, Dòmine, reċessìsti longe~; déspiċis in opportunitátibus, in tribulaçióne~? 
23 ^ Dum supèrbit ìmpius, inċènditur pauper~; comprehendùntur in consìliïs quìbus cógitant. 
24 ^ Quóniam laudátur peccátor in desidèriïs ànimae suae, et iníquus benedícitur. 
25 ^ Exaċerbávit Dòminum peccátor~; secùndum multitúdinem irae suae non quaeret~; non est Deus in conspèctu ejus. 
26 ^ Inquinátae sunt viae ìllius in òmni tèmpore~; auferùntur judìċia tua a fàċie ejus~; òmnium inimicórum suórum dominábitur. 
27 ^ Dixit ènim in corde suo, «~Non movébor a ġeneraçióne in ġeneraçiónem, sine màlo.~»
28 ^ Cujus maledicçióne os plenum est, et amaritúdine, et dolo~; sub lìngüa ejus labor et dolor. 
29 ^ Sèdet in insìdiïs cum divìtibus in occùltïs, ut interfìċiat innoċèntem. 
30 ^ Òculi ejus in páuperem respìċiunt~; insidiátur in abscòndito, quasi leo in spelúnxa sua. Insidiátur ut rápiat páuperem~; rápere páuperem dum àttrahit eum. 
31 ^ In làqueo suo humiliábit eum~; inclinábit se, et cadet quum dominátus fúerit páuperum. 
32 ^ Dixit ènim in corde suo, «~Oblítus est Deus~; avèrtit fàċiem suam, ne vìdeat in finem.~» 
33 ^ Exsùrge, Dòmine Deus~; exaltétur mànus tu~; ne obliviscáris páuperum. 
34 ^ ¿~Pròpter quid irritávit ìmpius Deum~? Dixit ènim in corde suo, «~Non requíret.~» 
35 ^ Vìdes, quóniam tu labórem et dolórem consíderas, ut tradas eos in mànüs tuas. Tìbi derelìctus est pauper~; órphano tu èris adjútor. 
36 ^ Còntere bráchium peccatóris et malígni~; quaerétur peccátum ìllius, et non inveniétur. 
37 ^ Dòminus regnábit in aetèrnum, et in sáeculum sáeculi~; períbitis ġèntes de terra ìllius. 
38 ^ Desidèrium páuperum exaudívit Dòminus~; praeparaçiónem cordis eórum audívit auris tua. 
39 ^ Judicáre pupìllo et húmili, ut non appónat ùltra magnificáre se hòmo super terram. 
