2 ^ Eructávit cor meum vèrbum bonum~; dico ego ópera mea reġi. lìngüa mea calamus scribae velóċiter scribèntis. 
3 ^ Speçiósus forma prae fíliïs hòminum, diffúsa est gráçia in lábiïs tuïs~; proptèrea benedíxit te Deus in aetèrnum. 
4 ^ Acċìngere glàdio tuo super femur tuum, potentìssime. 
5 ^ Spèċie tua et pulchritúdine tua intènde, próspere proċéde, et regna, pròpter veritátem et mansuetúdinem et justìçiam, et dedúcet te mirabìliter dèxtera tua. 
6 ^ Saġìttae tuae acútae~; pòpuli sub te cadent, in corda inimicórum reġis. 
7 ^ Sedes tua, Deus, in sáeculum sáeculi~; vìrga direcçiónis vìrga regni tui. 
8 ^ Dilexìsti justìçiam, et odìsti iniquitátem~; proptèrea unxit te Deus, Deus tuus óleo laetìçiae prae consórtibus tuïs. 
9 ^ Myrra et gutta et càssia a vestimèntïs tuïs, a dómibus evórneïs, e quìbus delectavérunt te~; 
10 ^ fíliae reġum in honóre tuo~; àstitit reġína a dèxtrïs tuïs in vestítu deauráto, çircùmdata varietáte. 
11 ^ Audi, fília, et vìde, et inclína aurem tuam, et oblivísċere pòpulum tuum et domum pàtris tui. 
12 ^ Et concupísċet rex decórem tuum, quóniam ìpse est Dòminus Deus tuus, et adorábunt eum. 
13 ^ Et fíliae Tyrii in munèribus vùltum tuum deprecabùntur~; òmnes dívites plebis. 
14 ^ Òmnis glória ejus fíliae reġis intrínsecus, in fìmbriïs áureïs, çircumamìcta varietátibus. 
15 ^ Adducèntur reġi vìrġines post eam~; pròximae ejus afferèntur tìbi. 
16 ^ Afferèntur in laetìçia et exsultaçióne~; adducèntur in templum reġis. 
17 ^ Pro pàtribus tuïs nati sunt tìbi fílii~; constìtues eos prínċipes super òmnem terram. 
18 ^ Mèmores èrunt nóminis tui in òmni ġeneraçióne et ġeneraçiónem. Proptèrea pòpuli confitebùntur tìbi in aetèrnum, et in sáeculum sáeculi. 
