1 ^ Deus deórum Dòminus locútus èst, et vocávit terram a solis ortu usqŭe ad occásum. ^ The God of gods, the Lord hath spoken, and he hath called the earth from the rising of the sun, to the going down thereof.
2 ^ Èx Sióne spècies decóris ejus~; Deus manifèste vèniet. ^ Out of Sion the loveliness of his beauty~; God shall come manifestly.
3 ^ Deus noster, et non silébit. Ignis in conspèctu ejus exardéscet, et in circùmitu ejus tempèstas valida. ^ Our God, and he shall not be silent. A fire shall burn before him, and a mighty tempest shall be round about him.
4 ^ Advocábit caĕlum desùrsum, et terram, discèrnere pòpulum suum. ^ He shall call heaven from above, and the earth, to judge his people.
5 ^ Congregáte illi sanctos ejus, qŭi órdinant testamèntum ejus super sacrifìcia. ^ Gather ye together his saints to him, who set his covenant before sacrifices.
6 ^ Et adnuntiábunt caĕli justìtiam ejus, qŭóniam Deus judex èst. ^ And the heavens shall declare his justice, for God is judge.
7 ^ Aŭdi, pòpulus meus, et loqŭer~; Isráhel, et testificábor tìbi~; Deus, Deus tuus ego sùm. ^ Hear, O my people, and I will speak~; O Israel, and I will testify to thee~; I am God, thy God.
8 ^ Non in sacrifìciîs tuîs árguem te~; holocáŭsta aŭtem tua in conspèctu meo sùnt sèmper. ^ I will not reprove thee for thy sacrifices~; and thy burnt offerings are always in my sight.
9 ^ Non accìpiem de domu tua vìtulos, nèqŭe de grègibus tuîs hircos. ^ I will not take calves out of thy house, nor he goats out of thy flocks.
10 ^ Qŭóniam meaĕ sùnt òmnes fèraĕ silvárum, jumènta in mòntibus et boves. ^ For all the beasts of the woods are mine, the cattle on the hills and the oxen.
11 ^ Cognóvi òmnia vulatìlia caĕli, et pulcritúdo agri mecum èst. ^ I know all the fowls of the air, and with me is the beauty of the field.
12 ^ Si esurívero, non dicam tìbi, meus èst ènim orbis terraĕ, et plenitúdo ejus. ^ If I should be hungry, I would not tell thee, for the world is mine, and the fulness thereof.
13 ^ ¿~Numqŭid manducábo carnes taŭrórum, aŭt sángŭinem hircórum potábo~? ^ Shall I eat the flesh of bullocks, or shall I drink the blood of goats~?
14 ^ Ìmmola Deo sacrifìcium laŭdis, et redde Altìssimo vota tua. ^ Offer to God the sacrifice of praise, and pay thy vows to the most High.
15 ^ Et ìnvoca me in die tribulatiónis~; éruem te, et honorificábis me. ^ And call upon me in the day of trouble~; I will deliver thee, and thou shalt glorify me.
16 ^ Peccatóri aŭtem dixit Deus, «~¿~Qŭare tu enárras justìtias meas, et assúmis testamèntum meum pèr os tuum~? ^ But to the sinner God hath said, "Why dost thou declare my justices, and take my covenant in thy mouth~?
17 ^ Tu vero odìsti disciplínam, et projecìsti sermónes meos retrórsum. ^ Seeing thou hast hated discipline, and hast cast my words behind thee.
18 ^ Si vǐdébas fûrem, currébas cùm eo, et cùm adùlterîs portiónem tuam ponébas. ^ If thou didst see a thief thou didst run with him, and with adulterers thou hast been a partaker.
19 ^ Os tuum abundávit malìtia, et lingŭa tua concinnábat dolos. ^ Thy mouth hath abounded with evil, and thy tongue framed deceits.
20 ^ Sedens advèrsus frátrem tuum loqŭebáris, et advèrsus fílium matris tuaĕ ponébas scándalum. ^ Sitting thou didst speak against thy brother, and didst lay a scandal against thy mother's son.
21 ^ Haĕc fecìsti, et tácui. Existimavìsti iníqŭe qŭod èro tui sìmilis~; árguem te et státuem contra fáciem tuam. ^ These things hast thou done, and I was silent. Thou thoughtest unjustly that I should be like to thee~; but I will reprove thee and set before thy face.
22 ^ Intellégite haĕc, qŭi obliviscìmini Deum~; neqŭándo rápiat, et non sit qŭi erìpiat. ^ Understand these things, you that forget God~; lest he snatch you away, and there be none to deliver you.
23 ^ Sacrifìcium laŭdis honorificábit me, et illic iter qŭo ostèndem illi salutáre Dei.~»^ The sacrifice of praise shall glorify me, and there is the way by which I will show him the salvation of God."
