1 ^ Dòminus illumináțio mea et salûs mea~; ¿~qụem timébo~? Dòminus protéctor vitaĕ meaĕ~; ¿~a qụo trepidábo~? ^ The Lord is my light and my salvation~; whom shall I fear~? The Lord is the protector of my life~; of whom shall I be afraid~?
2 ^ Dum apprópiant super me nocèntes, ut edant carnes meas, qụi trìbulant me et inimíci mei, ìpsi infirmáti sunt et caduérunt. ^ Whilst the wicked draw near against me, so as to eat my flesh, they that trouble me and my enemies, have been weakened and have fallen.
3 ^ Si consìstant advèrsum me castra, non timébit cor meum. Si exsùrģat advèrsum me práĕlium, in hoc ego sperábo. ^ If armies in camp should stand together against me, my heart shall not fear. If a battle should rise up against me, in this will I be confident.
4 ^ Unam petívi a Dòmino, hanc reqụírem, ut inhábitem in domu Dòmini òmnibus diébus vitaĕ meaĕ~; ut vèdeam voluptátem Dòmini, et vísitem templum ejus. ^ One thing I have asked of the Lord, this will I seek after, that I may dwell in the house of the Lord all the days of my life~; that I may see the delight of the Lord, and may visit his temple.
5 ^ Qụóniam abscòndit me in tabernáculo suo~; in die malórum protéxit me in abscòndito tabernáculi sui. ^ For he hath hidden me in his tabernacle~; in the day of evils he hath protected me in the secret place of his tabernacle.
6 ^ In pètra exaltávit me, et nunc exaltávit caput meum super inimícos meos. Circumívi, et immolávi in tabernáculo ejus hóstiam vociferațiónis~; cantábo et psalmum dicem Dòmino. ^ He hath exalted me upon a rock, and now he hath lifted up my head above my enemies. I have gone round, and have offered up in his tabernacle a sacrifice of jubilation~; I will sing and I will recite a psalm to the Lord.
7 ^ Exáŭdi, Dòmine, vocem meam, qụa clamávi ad te~; miserére mei, et exáŭdi me. ^ Hear, O Lord, my voice, with which I have cried to thee~; have mercy on me and hear me.
8 ^ Tìbi dixit cor meum~; exqụisívit te fáçies mea. Faciem tuam, Dòmine, reqụírem. ^ My heart hath spoke to thee~; my face hath sought thee. Thy face, O Lord, I will seek.
9 ^ Ne avèrtas fáçiem tuam a me~; ne declínes in ira a servo tuo. Adjútor meus èsto~; ne derelìnqụas me, nèqụe despìcias me, Deus salutáris meus. ^ Turn not away thy face from me~; decline not in thy wrath from thy servant. Be thou my helper~; forsake me not, and do not thou despise me, O God my Saviour.
10 ^ Qụóniam pater meus et mater mea dereliqụérunt me~; Dòminus aŭtem assúmpsit me. ^ For my father and my mother have left me~; but the Lord hath taken me up.
11 ^ Leģem pone mìchi, Dòmine, in via tua, et díriģe me in sémitam rectam pròpter inimícos meos. ^ Set me, O Lord, a law in thy way, and guide me in the right path, because of my enemies.
12 ^ Ne tradìderis me in ánimas tribulántium me, qụóniam insurrexérunt in me tèstes iníqụi, et mentíta est iníqụitas sìbi. ^ Let me not be delivered over to the will of them that trouble me, for unjust witnesses have risen up against me, and iniquity hath lied to itself.
13 ^ Credo vedére bona Dòmini in terra vivèntium. ^ I believe to see the good things of the Lord in the land of the living.
14 ^ Expècta Dòminum~; viríliter aģe, et confortétur cor tuum, et sùstine Dòminum. ^ Expect the Lord~; do manfully, and let thy heart take courage, and wait thou for the Lord.
