2 ^ Deus, Deus meus, ad te de luce vìgilo. Sitívit in te ánima mea, qŭam multiplìciter tìbi carnis mea, in terra desèrta et ìnvia et inaqŭósa. ^ O God, my God, to thee from the dawn do I keep watch. My soul hath thirsted for thee, how many ways to thee my flesh, in a deserted, trackless, waterless land. 
3 ^ sic in sancto appárui tìbi, ut vǐdérem virtútem tuam et glóriam tuam. ^ So in the sanctuary have I come before thee, to see thy power and thy glory.
4 ^ Qŭóniam mèlior est misericórdia tua super vitas~; lábia mea laŭdábunt te. ^ For thy mercy is better than lives~; thee my lips will praise.
5 ^ sic benedícem te in vita mea, et in nómine tuo levábo manûs meas. ^ Thus I will bless thee all my life long, and in thy name I will lift up my hands.
6 ^ sicut ádipe et pingŭédine repleátur ánima mea, et lábiîs exsultatiónis laŭdábit os meum. ^ Let my soul be filled as with marrow and fatness, and my mouth shall praise thee with joyful lips.
7 ^ Si mèmor fui tui super stratum meum, in matutínîs meditábor in te. ^ If I have remembered thee upon my bed, I will meditate on thee in the morning.
8 ^ qŭia fuìsti adjútor meus, et in velamènto alárum tuárum exsultábo. ^ Because thou hast been my helper, and I will rejoice under the cover of thy wings.
9 ^ Adháĕsit ánima mea post te~; me suscépit dèxtera tua. ^ My soul hath stuck close to thee~; thy right hand hath received me.
10 ^ Ìpsi vero in vanum qŭaĕsivérunt ánimam meam, introíbunt in inferióra terraĕ~; ^ But they have sought my soul in vain, they shall go into the lower parts of the earth~;
11 ^ tradèntur in manûs gládii, partes vùlpium èrunt. ^ they shall be delivered into the hands of the sword, they shall be the portions of foxes.
12 ^ Rex vero laĕtábitur in Deo~; laŭdabùntur òmnes qŭi jurant in eo, qŭia obstrùctum est os loqŭèntium iníqŭa. ^ But the king shall rejoice in God~; all they shall be praised that swear by him, because the mouth is stopped of them that speak wicked things.
