1 ^ Confitémini Dòmino quóniam bonus, quóniam in sáeculum misericórdia ejus. 
2 ^ ¿~Quìs loquétur potènzias Dòmini, audítas fàčiet òmnes laudes ejus~? 
3 ^ Beáti qui custódiunt judìčium, et fàčiunt justìziam in òmni tèmpore. 
4 ^ Memènto nostri, Dòmine, in benepláčito pòpuli tui~; vísita nos in salutári tuo, 
5 ^ ad vidèndum in bonitáte electórum tuórum, ad laetandum in laetìzia ğentis tuae, ut laudéris cum hereditáte tua. 
6 ^ Peccávimus cum pàtribus nostrïs~; injúste égimus~; iniquitátem féčimus. 
7 ^ Patres nostri in Aeğỳpto non intellexérunt mirabìlia tua~; non fuérunt mèmores multitúdinis misericórdiae tuae, et irritavérunt asčendèntes in mare, mare Rubrum. 
8 ^ Et salvávit eos pròpter nomen suum, ut notam fàčeret potènziam suam. 
9 ^ Et increpávit mare Rubrum et exsiccátum est, et dedúxit eos in abỳssïs sicut in desèrto. 
10 ^ Et salvávit eos de mànu odièntium, et redémit eos de mànu inimíci. 
11 ^ Et opèruit aqua tribulàntes eos~; unus ex eïs non remánsit. 
12 ^ Et credidérunt vèrbïs ejus, et laudavérunt laudem ejus. 
13 ^ Cìto fečérunt~; oblíti sunt óperum ejus, et non sustinuérunt consìlium ejus. 
14 ^ Et concupivérunt concupiscènziam in desèrto, et tentavérunt Deum in inaquóso. 
15 ^ Et dèdit eïs petiziónem ipsórum, et misit saturitátem in ànimas eórum. 
16 ^ Et irritavérunt Moýsem in castrïs~; Aharónem, sanctum Dòmini. 
17 ^ Apèrta est terra, et degluttívit Dathánum, et opèruit super congregaziónem Abirónis. 
18 ^ Et exársit ìgnis in synagóga eórum~; flamma combùssit peccatóres. 
19 ^ Et fečérunt vìtulum in Horébe, et adoravérunt scùlptile. 
20 ^ Et mutavérunt glóriam suam in similitúdinem vìtuli comedèntis foenum. 
21 ^ Oblíti sunt Deum qui salvávit eos~; qui fečit magnália in Aeğỳpto, 
22 ^ mirabìlia in terra Čami, terribìlia in mari Rubro. 
23 ^ Et dixit ut dispèrderet eos, si non Moýses eléctus ejus stetìsset in confraczióne in conspèctu ejus, ut avèrteret iram ejus ne dispèrderet eos. 
24 ^ Et pro nìhilo habuérunt terram desiderábilem~; non credidérunt vèrbo ejus. 
25 ^ Et murmuravérunt in tabernáculïs suïs~; non exaudivérunt vočem Dòmini. 
26 ^ Et elevávit mànum suam super eos, ut prostèrneret eos in desèrto. 
27 ^ Et ut dejìčeret semen eórum in naziónibus, et dispèrgeret eos in reğiónibus. 
28 ^ Et iniziáti sunt Balfegóri, et comedérunt sacrifìčia mortuórum. 
29 ^ Et irritavérunt eum in adinvenziónibus suïs, et multiplicáta est in eïs ruína. 
30 ^ Et stètit Fìneas et placávit, et čessávit quassázio. 
31 ^ Et reputátum est ei in justìziam, in ğeneraziónem et ğeneraziónem usque in sempitèrnum. 
32 ^ Et irritavérunt eum ad aquas contradicziónis, et vexátus est Moýses pròpter eos, 
33 ^ quia exačerbavérunt spíritum ejus, et distínxit in lábiïs suïs. 
34 ^ Non disperdidérunt ğèntes quas dixit Dòminus illïs. 
35 ^ Et commìxti sunt inter ğèntes, et didicérunt ópera eórum, 
36 ^ et servivérunt sculptìlibus eórum, et fàctum est illïs in scándalum. 
37 ^ Et immolavérunt fílios suos, et fílias suas daemòniïs. 
38 ^ Et effudérunt sángüinem innočèntem, sángüinem filiórum suórum et fïliárum suárum quas sacrificavérunt sculptìlibus Canaánis, et infècta est terra in sangüìnibus. 
39 ^ Et contamináta est in opèribus eórum, et fornicáti sunt in adinvenziónibus suïs. 
40 ^ Et irátus est furóre Dòminus in pòpulum suum, et abominátus est hereditátem suam. 
41 ^ Et trádidit eos in mànüs ğèntium, et domináti sunt eórum qui odérunt eos. 
42 ^ Et tribulavérunt eos inimíci eórum, et humiliáti sunt sub mànibus eórum. 
43 ^ Sáepe liberávit eos~; ìpsi autem exačerbavérunt eum in consìlio suo, et humiliáti sunt in iniquitátibus suïs. 
44 ^ Et vïdit quum tribularèntur, et audívit oraziónem eórum. 
45 ^ Et mèmor fuit testamènti sui, et poenìtuit eum secùndum multitúdinem misericórdiae suae. 
46 ^ Et dèdit eos in misericórdias in conspèctu òmnium qui céperant eos. 
47 ^ Sàlvos fac nos, Dòmine Deus noster, et còngrega nos de naziónibus, ut confiteámur nómini sancto tuo, et gloriémur in laude tua. 
48 ^ Benedìctus Dòminus Deus Israhélis, a sáeculo et usque in sáeculum. Et dicet òmnis pòpulus, «~Fiat, fiat.~» 
