1 ^ Confitémini Dòmino qụóniam bonus, qụóniam in aĕtèrnum misericórdia ejus. ^ Praise the Lord, for he is good, for his mercy is for ever.
2 ^ Confitémini Deo deórum, qụóniam in aĕtèrnum misericórdia ejus. ^ Praise ye the God of gods, for his mercy is for ever.
3 ^ Confitémini Dòmino dominórum, qụóniam in aĕtèrnum misericórdia ejus. ^ Praise ye the Lord of lords, for his mercy is for ever.
4 ^ Qụi façit mirabìlia magna solus, qụóniam in aĕtèrnum misericórdia ejus. ^ Who alone doth great wonders, for his mercy is for ever.
5 ^ Qụi fecit caĕlos in intelléctu, qụóniam in aĕtèrnum misericórdia ejus. ^ Who made the heavens in understanding, for his mercy is for ever.
6 ^ Qụi firmávit terram super aqụas, qụóniam in aĕtèrnum misericórdia ejus. ^ Who established the earth above the waters, for his mercy is for ever.
7 ^ Qụi fecit luminária magna, qụóniam in aĕtèrnum misericórdia ejus. ^ Who made the great lights, for his mercy is for ever.
8 ^ Solem in potestátem diéi, qụóniam in aĕtèrnum misericórdia ejus. ^ The sun to rule the day, for his mercy is for ever.
9 ^ Lunam et stellas in potestátem nòctis, qụóniam in aĕtèrnum misericórdia ejus. ^ The moon and the stars to rule the night, for his mercy is for ever.
10 ^ Qụi percùssit Aĕģìptum cum primoģènitîs eórum, qụóniam in aĕtèrnum misericórdia ejus. ^ Who smote Egypt with their firstborn, for his mercy is for ever.
11 ^ Qụi edúxit Israhélem de mèdio eórum, qụóniam in aĕtèrnum misericórdia ejus. ^ Who brought out Israel from among them, for his mercy is for ever.
12 ^ In manu potènti, et bráchio excèlso, qụóniam in aĕtèrnum misericórdia ejus. ^ With a mighty hand and with a stretched out arm, for his mercy is for ever.
13 ^ Qụi divísit Mare Rubrum in divisiónes, qụóniam in aĕtèrnum misericórdia ejus. ^ Who divided the Red Sea into parts, for his mercy is for ever.
14 ^ Et edúxit Israhélem per mèdium ejus, qụóniam in aĕtèrnum misericórdia ejus. ^ And brought out Israel through the midst thereof, for his mercy is for ever.
15 ^ Et excùssit Faraónem, et virtútem ejus in Mari Rubro, qụóniam in aĕtèrnum misericórdia ejus. ^ And overthrew Pharaoh and his host in the Red Sea, for his mercy is for ever.
16 ^ Qụi tradúxit pòpulum suum per desèrtum, qụóniam in aĕtèrnum misericórdia ejus. ^ Who led his people through the desert, for his mercy is for ever.
17 ^ Qụi percùssit reģes magnos, qụóniam in aĕtèrnum misericórdia ejus. ^ Who smote great kings, for his mercy is for ever.
18 ^ Et occáĕsit reģes fortes, qụóniam in aĕtèrnum misericórdia ejus. ^ And slew strong kings, for his mercy is for ever.
19 ^ Sehon reģem Amorraĕórum, qụóniam in aĕtèrnum misericórdia ejus. ^ Sehon king of the Amorites, for his mercy is for ever.
20 ^ Et Ogam reģem Basánis, qụóniam in aĕtèrnum misericórdia ejus. ^ And Og king of Basan, for his mercy is for ever.
21 ^ Et dèdit terram eórum hereditátem, qụóniam in aĕtèrnum misericórdia ejus. ^ And he gave their land for an inheritance, for his mercy is for ever.
22 ^ Hereditátem Israhéli servo suo, qụóniam in aĕtèrnum misericórdia ejus. ^ For an inheritance to his servant Israel, for his mercy is for ever.
23 ^ Qụia in humilitáte nostra mèmor fuit nostri, qụóniam in aĕtèrnum misericórdia ejus. ^ For he was mindful of us in our affliction, for his mercy is for ever.
24 ^ Et redémit nos ab inimícîs nostrîs, qụóniam in aĕtèrnum misericórdia ejus. ^ And he redeemed us from our enemies, for his mercy is for ever.
25 ^ Qụi dat escam òmni carni, qụóniam in aĕtèrnum misericórdia ejus. ^ Who giveth food to all flesh, for his mercy is for ever.
26 ^ Confitémini Deo caĕli, qụóniam in aĕtèrnum misericórdia ejus. ^ Give glory to the God of heaven, for his mercy is for ever.
27 ^ Confitémini Dòmino dominórum, qụóniam in aĕtèrnum misericórdia ejus. ^ Give glory to the Lord of lords, for his mercy is for ever.
